Day,Date,Close,Open,High,Low
Friday,2019-11-01,30374.1,30200.05,30449.45,30063.1
Monday,2019-11-04,30396.05,30457.95,30658.0,30267.0
Tuesday,2019-11-05,30294.15,30420.05,30519.9,30155.1
Wednesday,2019-11-06,30682.6,30260.3,30780.0,30052.0
Thursday,2019-11-07,30664.35,30801.0,30848.95,30463.0
Friday,2019-11-08,30759.0,30630.0,31099.0,30493.55
Monday,2019-11-11,31097.8,30700.0,31222.85,30610.05
Tuesday,2019-11-12,31097.8,30700.0,31222.85,30610.05
Wednesday,2019-11-13,30585.6,31083.95,31167.25,30538.8
Thursday,2019-11-14,30770.55,30580.0,30830.0,30361.35
Friday,2019-11-15,31052.2,30902.2,31185.0,30859.6
Monday,2019-11-18,31017.85,31152.0,31182.0,30900.1
Tuesday,2019-11-19,31259.65,31059.95,31315.85,30950.0
Wednesday,2019-11-20,31321.25,31350.0,31434.4,31184.55
Thursday,2019-11-21,31316.75,31299.95,31444.9,31223.6
Friday,2019-11-22,31114.7,31248.2,31329.7,31023.35
Monday,2019-11-25,31568.25,31080.1,31590.0,31049.05
Tuesday,2019-11-26,31648.9,31620.1,31791.85,31411.0
Wednesday,2019-11-27,31872.35,31738.6,31898.0,31705.0
Thursday,2019-11-28,32122.95,31874.25,32143.3,31874.25
Friday,2019-11-29,32003.85,32100.5,32148.0,31820.0
Monday,2019-12-02,31921.35,32079.95,32080.0,31762.3
Tuesday,2019-12-03,31711.2,31949.9,31949.9,31580.6
Wednesday,2019-12-04,32080.9,31624.95,32125.0,31511.25
Thursday,2019-12-05,31762.5,32110.0,32179.95,31705.0
Friday,2019-12-06,31418.3,31799.95,31925.0,31323.0
Monday,2019-12-09,31397.65,31374.9,31612.1,31201.0
Tuesday,2019-12-10,31226.55,31440.1,31445.0,31188.35
Wednesday,2019-12-11,31314.25,31208.3,31395.75,31065.3
Thursday,2019-12-12,31717.0,31406.3,31745.0,31405.0
Friday,2019-12-13,32102.7,31860.45,32230.0,31805.35
Monday,2019-12-16,32010.3,32197.65,32205.0,31848.15
Tuesday,2019-12-17,32206.35,32100.1,32285.0,32055.05
Wednesday,2019-12-18,32279.3,32310.05,32343.95,32055.0
Thursday,2019-12-19,32260.4,32300.0,32345.4,32123.35
Friday,2019-12-20,32378.4,32227.0,32440.0,32180.0
Monday,2019-12-23,32329.4,32349.95,32425.0,32220.0
Tuesday,2019-12-24,32307.75,32304.95,32384.0,32270.45
Wednesday,2019-12-25,32307.75,32304.95,32384.0,32270.45
Thursday,2019-12-26,31997.7,32269.95,32339.0,31945.0
